Customer Name,Sales,Orders,Recency,R Score,F Score,M Score,RFM Score,Segment
Steven Cartwright,5226.21,11,187,2,5,5,255,À réactiver
Michelle Arnett,2453.28,6,186,2,3,3,233,À réactiver
Alex Avila,5563.56,5,184,2,3,5,235,À réactiver
Fred Chung,3889.37,7,184,2,4,4,244,À réactiver
Neil Ducich,2893.45,6,183,2,3,4,234,À réactiver
Thomas Thornton,1427.04,8,183,2,4,2,242,Clients à risque
Sheri Gordon,1884.8,8,183,2,4,3,243,À réactiver
Michael Oakman,154.29,2,180,2,1,1,211,Clients à risque
Rob Dowd,2832.9,9,180,2,5,4,254,À réactiver
Jim Kriz,4760.43,9,180,2,5,5,255,À réactiver
Linda Southworth,2845.27,6,178,2,3,4,234,À réactiver
Jenna Caffey,1058.11,1,175,2,1,2,212,Clients à risque
John Huston,528.91,6,174,2,3,1,231,Clients à risque
Noel Staavos,2857.75,12,174,2,5,4,254,À réactiver
Tom Stivers,2054.14,5,172,2,2,3,223,À réactiver
Natalie Webber,7234.01,7,172,2,4,5,245,À réactiver
Rick Reed,3302.26,6,170,2,3,4,234,À réactiver
Mark Hamilton,2146.69,7,170,2,4,3,243,À réactiver
Magdelene Morse,1314.02,4,168,2,1,2,212,Clients à risque
Anthony Johnson,4501.39,7,166,2,4,5,245,À réactiver
Alejandro Ballentine,914.53,9,166,2,5,1,251,Clients à risque
Sean Wendt,1019.04,3,162,2,1,2,212,Clients à risque
Cari Schnelling,537.63,6,162,2,3,1,231,Clients à risque
Shaun Weien,2835.56,6,162,2,3,4,234,À réactiver
Anne McFarland,5664.02,8,162,2,4,5,245,À réactiver
Eric Barreto,944.6,5,161,2,2,2,222,Clients à risque
Annie Zypern,1622.02,6,160,2,3,2,232,Clients à risque
Christine Phan,5817.19,7,160,2,4,5,245,À réactiver
Nathan Mautz,6459.34,7,160,2,4,5,245,À réactiver
Philisse Overcash,4893.04,9,160,2,5,5,255,À réactiver
Harold Ryan,5248.79,7,159,2,4,5,245,À réactiver
Evan Minnotte,366.82,3,158,2,1,1,211,Clients à risque
John Castell,2772.05,9,158,2,5,4,254,À réactiver
George Zrebassa,2454.62,4,157,2,2,3,223,À réactiver
Matt Hagelstein,1252.8,4,155,2,1,2,212,Clients à risque
Vivek Gonzalez,846.01,6,154,2,3,1,231,Clients à risque
Laura Armstrong,8673.22,11,154,2,5,5,255,À réactiver
Tony Chapman,1244.98,9,153,2,5,2,252,Clients à risque
Greg Matthias,3163.63,6,152,2,3,4,234,À réactiver
Laurel Beltran,4985.68,8,152,2,4,5,245,À réactiver
Eugene Hildebrand,3082.65,10,152,2,5,4,254,À réactiver
Erin Ashbrook,2752.44,12,152,2,5,4,254,À réactiver
Larry Hughes,287.43,3,151,2,1,1,211,Clients à risque
Eric Murdock,933.7,5,151,2,2,1,221,Clients à risque
Heather Kirkland,4877.78,8,151,2,4,5,245,À réactiver
Scot Coram,4371.96,4,149,2,2,5,225,À réactiver
George Ashbrook,3797.23,5,149,2,3,4,234,À réactiver
Todd Boyes,834.33,5,146,2,2,1,221,Clients à risque
Fred McMath,2523.27,9,145,2,5,3,253,À réactiver
Ivan Liston,5040.74,7,142,2,4,5,245,À réactiver
Nora Preis,7903.18,7,138,2,4,5,245,À réactiver
Bill Overfelt,2682.73,5,137,2,2,3,223,À réactiver
Emily Ducich,3484.92,8,135,2,4,4,244,À réactiver
Edward Hooks,9940.38,10,135,2,5,5,255,À réactiver
Pauline Johnson,1677.54,6,134,2,3,2,232,Clients à risque
Denny Ordway,1300.03,9,133,2,5,2,252,Clients à risque
Lisa Ryan,1879.31,5,132,2,2,3,223,À réactiver
Eleni McCrary,2567.01,5,132,2,2,3,223,À réactiver
Candace McMahon,1673.89,6,131,2,3,2,232,Clients à risque
Tony Molinari,1094.68,3,130,2,1,2,212,Clients à risque
Heather Jas,358.1,5,126,2,2,1,221,Clients à risque
Steve Carroll,1254.64,6,126,2,3,2,232,Clients à risque
Darren Powers,897.52,8,126,2,4,1,241,Clients à risque
Mathew Reese,639.18,4,125,2,1,1,211,Clients à risque
Allen Rosenblatt,2236.13,5,125,2,2,3,223,À réactiver
Shui Tom,433.34,7,125,2,3,1,231,Clients à risque
Ashley Jarboe,1829.9,6,121,2,3,3,233,À réactiver
Bart Watters,4750.36,8,121,2,4,5,245,À réactiver
Rob Lucas,6234.91,8,121,2,4,5,245,À réactiver
Maxwell Schwartz,3144.68,9,121,2,5,4,254,À réactiver
Jeremy Farry,890.95,10,121,2,5,1,251,Clients à risque
Sung Shariari,964.64,5,120,2,2,2,222,Clients à risque
Christine Kargatis,2945.32,5,120,2,2,4,224,À réactiver
Cynthia Arntzen,3041.57,7,120,2,4,4,244,À réactiver
Rick Wilson,7397.4,7,120,2,4,5,245,À réactiver
Ralph Kennedy,1460.19,3,119,2,1,2,212,Clients à risque
Jill Stevenson,1417.65,4,119,2,2,2,222,Clients à risque
Ted Butterfield,1451.36,4,119,2,2,2,222,Clients à risque
Dorris liebe,755.6,5,119,2,2,1,221,Clients à risque
Janet Lee,2203.7,5,119,2,2,3,223,À réactiver
Bill Eplett,4204.68,5,119,2,3,4,234,À réactiver
Aleksandra Gannaway,367.55,4,118,2,1,1,211,Clients à risque
Katrina Bavinger,908.82,3,117,2,1,1,211,Clients à risque
Greg Maxwell,6049.97,3,117,2,1,5,215,À réactiver
Vivian Mathis,380.69,5,117,2,2,1,221,Clients à risque
John Dryer,2152.35,5,117,2,2,3,223,À réactiver
Maribeth Dona,2716.41,6,117,2,3,3,233,À réactiver
Helen Wasserman,4827.93,7,117,2,4,5,245,À réactiver
Tiffany House,1022.2,8,117,2,4,2,242,Clients à risque
Julie Kriz,2932.48,10,117,2,5,4,254,À réactiver
Michael Grace,1242.83,5,116,2,2,2,222,Clients à risque
Jasper Cacioppo,71.26,4,114,2,1,1,211,Clients à risque
Trudy Glocke,2074.66,4,114,2,2,3,223,À réactiver
Robert Dilbeck,2745.89,4,114,2,2,4,224,À réactiver
Allen Goldenen,200.94,5,114,2,2,1,221,Clients à risque
Phillip Flathmann,2206.13,5,114,2,2,3,223,À réactiver
Dario Medina,1322.03,7,114,2,3,2,232,Clients à risque
Nicole Fjeld,2031.47,7,114,2,4,3,243,À réactiver
Ruben Dartt,3133.92,9,114,2,5,4,254,À réactiver
Eudokia Martin,1041.04,4,113,2,1,2,212,Clients à risque
Eugene Barchas,3071.13,6,113,2,3,4,234,À réactiver
Joy Daniels,385.43,6,112,2,3,1,231,Clients à risque
Matt Connell,2258.19,8,112,2,4,3,243,À réactiver
Grace Kelly,6497.27,9,112,2,5,5,255,À réactiver
Keith Dawkins,8181.26,12,112,2,5,5,255,À réactiver
Alex Russell,1055.69,4,111,2,1,2,212,Clients à risque
Skye Norling,1860.42,6,111,2,3,3,233,À réactiver
Ryan Crowe,652.64,4,110,2,1,1,211,Clients à risque
Shahid Shariari,3056.81,6,110,2,3,4,234,À réactiver
John Murray,7625.08,7,109,2,4,5,245,À réactiver
Speros Goranitis,3118.89,5,108,2,2,4,224,À réactiver
Pamela Stobb,2181.48,6,107,2,3,3,233,À réactiver
Dorothy Badders,3908.8,7,107,2,4,4,244,À réactiver
Tracy Blumstein,4737.49,9,107,2,5,5,255,À réactiver
Theresa Coyne,1038.26,1,106,2,1,2,212,Clients à risque
Carl Ludwig,1262.01,4,106,2,1,2,212,Clients à risque
Charles Crestani,2471.65,7,106,2,4,3,243,À réactiver
Gene McClure,1255.68,10,106,2,5,2,252,Clients à risque
Barry Blumstein,744.34,5,105,2,2,1,221,Clients à risque
Evan Henry,923.88,6,105,2,3,1,231,Clients à risque
Jay Fein,1911.84,6,105,2,3,3,233,À réactiver
Tom Prescott,5329.0,5,104,2,3,5,235,À réactiver
Meg O'Connel,1687.03,8,104,2,4,2,242,Clients à risque
Pete Armstrong,729.41,6,103,3,3,1,331,Clients à risque
Tamara Manning,2819.03,7,103,3,4,4,344,Clients fidèles
Jessica Myrick,1733.44,7,102,3,4,3,343,Clients fidèles
Julie Prescott,1707.71,9,102,3,5,3,353,Clients fidèles
Seth Vernon,11470.95,10,101,3,5,5,355,Clients fidèles
Muhammed Lee,162.23,2,100,3,1,1,311,Clients à risque
Brendan Murry,808.16,6,100,3,3,1,331,Clients à risque
Dan Lawera,444.02,7,100,3,3,1,331,Clients à risque
Emily Burns,2767.22,10,100,3,5,4,354,Clients fidèles
Kean Thornton,4642.09,10,100,3,5,5,355,Clients fidèles
Michael Granlund,776.38,9,99,3,5,1,351,Clients fidèles
Don Weiss,344.08,5,98,3,2,1,321,Clients à risque
Bobby Elias,2261.44,5,98,3,2,3,323,Clients à potentiel
Kristina Nunn,2003.01,7,98,3,4,3,343,Clients fidèles
Maya Herman,2203.78,7,98,3,4,3,343,Clients fidèles
Arthur Prichep,3323.56,10,98,3,5,4,354,Clients fidèles
Kelly Collister,3908.26,4,97,3,2,4,324,Clients à potentiel
Brian Dahlen,2783.19,6,97,3,3,4,334,Clients à potentiel
Frank Atkinson,2984.05,7,97,3,4,4,344,Clients fidèles
Anna Gayman,3489.04,7,97,3,4,4,344,Clients fidèles
Karen Ferguson,10604.27,7,97,3,4,5,345,Clients fidèles
Philip Brown,1456.95,8,97,3,4,2,342,Clients fidèles
Paul Prost,7252.61,10,97,3,5,5,355,Clients fidèles
Katrina Willman,4416.52,5,96,3,3,5,335,Clients à potentiel
Luke Schmidt,1010.26,6,96,3,3,2,332,Clients à risque
Carol Adams,3789.72,6,96,3,3,4,334,Clients à potentiel
Raymond Buch,15117.34,6,96,3,3,5,335,Clients à potentiel
Carol Triggs,3241.9,8,96,3,4,4,344,Clients fidèles
Arthur Gainer,4510.8,10,96,3,5,5,355,Clients fidèles
Sanjit Jacobs,3949.66,12,95,3,5,4,354,Clients fidèles
Darrin Sayre,1762.21,4,93,3,2,3,323,Clients à potentiel
Bruce Degenhardt,1526.5,6,93,3,3,2,332,Clients à risque
Sonia Cooley,799.8,4,92,3,1,1,311,Clients à risque
Michelle Ellison,1256.94,4,92,3,1,2,312,Clients à risque
Maureen Gastineau,2350.19,4,92,3,2,3,323,Clients à potentiel
Jas O'Carroll,1934.27,6,92,3,3,3,333,Clients à potentiel
Ann Steele,833.4,7,92,3,3,1,331,Clients à risque
Joseph Airdo,6491.03,8,92,3,4,5,345,Clients fidèles
Cari Sayre,1278.95,5,91,3,2,2,322,Clients à risque
Bradley Talbott,2684.49,5,91,3,2,3,323,Clients à potentiel
Barbara Fisher,599.8,7,91,3,3,1,331,Clients à risque
Ellis Ballard,964.45,4,90,3,1,2,312,Clients à risque
Tanja Norvell,3130.22,7,90,3,4,4,344,Clients fidèles
Paul Van Hugh,2876.05,5,89,3,2,4,324,Clients à potentiel
Becky Pak,1697.86,6,89,3,3,2,332,Clients à risque
Roland Fjeld,2341.3,7,89,3,4,3,343,Clients fidèles
Rob Williams,3279.75,9,89,3,5,4,354,Clients fidèles
Steve Chapman,2576.41,10,89,3,5,3,353,Clients fidèles
Laurel Workman,2238.06,5,88,3,2,3,323,Clients à potentiel
Aaron Smayling,3050.69,7,88,3,4,4,344,Clients fidèles
Phillina Ober,1056.86,5,86,3,2,2,322,Clients à risque
Cyra Reiten,1397.87,3,85,3,1,2,312,Clients à risque
Muhammed MacIntyre,775.41,9,85,3,5,1,351,Clients fidèles
Nick Zandusky,2488.31,9,85,3,5,3,353,Clients fidèles
Mike Gockenbach,3061.54,4,84,3,2,4,324,Clients à potentiel
Joe Kamberova,4769.9,9,84,3,5,5,355,Clients fidèles
Dean percer,7198.76,11,84,3,5,5,355,Clients fidèles
Barry Pond,983.42,5,83,3,2,2,322,Clients à risque
Gary McGarr,3582.82,7,83,3,4,4,344,Clients fidèles
Evan Bailliet,1186.33,6,82,3,3,2,332,Clients à risque
Cathy Prescott,5402.25,8,82,3,4,5,345,Clients fidèles
Cyma Kinney,1582.11,9,82,3,5,2,352,Clients fidèles
Scot Wooten,1085.08,7,81,3,3,2,332,Clients à risque
Michelle Lonsdale,742.08,3,79,3,1,1,311,Clients à risque
Robert Waldorf,3495.65,5,79,3,3,4,334,Clients à potentiel
Sean Miller,25043.05,5,79,3,3,5,335,Clients à potentiel
Natalie Fritzler,8080.47,6,79,3,3,5,335,Clients à potentiel
Steve Nguyen,3127.96,7,79,3,4,4,344,Clients fidèles
Sung Pak,4282.94,10,79,3,5,5,355,Clients fidèles
Craig Reiter,1600.55,4,78,3,2,2,322,Clients à risque
Andrew Gjertsen,1419.25,7,78,3,3,2,332,Clients à risque
Ed Ludwig,124.28,2,77,3,1,1,311,Clients à risque
Anthony Garverick,170.58,4,77,3,1,1,311,Clients à risque
Berenike Kampe,659.14,6,77,3,3,1,331,Clients à risque
Stuart Van,1271.09,4,76,3,1,2,312,Clients à risque
Ricardo Sperren,3221.29,5,76,3,2,4,324,Clients à potentiel
Marc Crier,2725.98,8,76,3,4,4,344,Clients fidèles
Dionis Lloyd,3539.32,8,76,3,4,4,344,Clients fidèles
Bobby Odegard,130.83,2,75,3,1,1,311,Clients à risque
Victoria Pisteka,3360.53,7,75,3,4,4,344,Clients fidèles
Anthony Jacobs,4867.34,7,75,3,4,5,345,Clients fidèles
Gary Hansen,2819.47,9,75,3,5,4,354,Clients fidèles
Astrea Jones,629.25,3,74,3,1,1,311,Clients à risque
Barry Franzأ¶sisch,2888.51,8,74,3,4,4,344,Clients fidèles
Hilary Holden,218.67,2,72,3,1,1,311,Clients à risque
Mary O'Rourke,922.49,4,72,3,1,1,311,Clients à risque
Tracy Hopkins,4234.1,7,72,3,4,4,344,Clients fidèles
Rick Duston,4272.93,8,72,3,4,5,345,Clients fidèles
Michael Paige,3983.64,9,72,3,5,4,354,Clients fidèles
Pete Takahito,158.46,3,71,3,1,1,311,Clients à risque
Ivan Gibson,744.57,4,71,3,1,1,311,Clients à risque
Muhammed Yedwab,3601.88,10,71,3,5,4,354,Clients fidèles
Patricia Hirasaki,729.65,1,70,3,1,1,311,Clients à risque
Sara Luxemburg,3046.53,6,70,3,3,4,334,Clients à potentiel
Susan Pistek,3990.69,6,70,3,3,4,334,Clients à potentiel
Neil Knudson,572.05,7,70,3,3,1,331,Clients à risque
Frank Carlisle,3418.74,7,70,3,4,4,344,Clients fidèles
Tom Ashbrook,14595.62,4,69,3,2,5,325,Clients à potentiel
David Wiener,1080.75,6,69,3,3,2,332,Clients à risque
Brian DeCherney,1538.11,6,69,3,3,2,332,Clients à risque
Helen Abelman,2163.3,7,69,3,4,3,343,Clients fidèles
Paul Stevenson,1278.64,8,69,3,4,2,342,Clients fidèles
Marina Lichtenstein,2722.84,9,69,3,5,4,354,Clients fidèles
Jocasta Rupert,863.88,1,68,3,1,1,311,Clients à risque
Randy Bradley,1008.2,2,68,3,1,2,312,Clients à risque
Benjamin Farhat,1585.16,4,65,3,2,2,322,Clients à risque
Olvera Toch,3818.62,5,65,3,3,4,334,Clients à potentiel
Jamie Frazer,2239.61,6,65,3,3,3,333,Clients à potentiel
Tamara Willingham,5278.83,7,64,3,4,5,345,Clients fidèles
Matt Abelman,4299.16,11,64,3,5,5,355,Clients fidèles
Sue Ann Reed,4767.34,10,63,3,5,5,355,Clients fidèles
George Bell,1568.44,11,62,3,5,2,352,Clients fidèles
Jamie Kunitz,4262.29,4,61,3,2,4,324,Clients à potentiel
Ryan Akin,1686.92,5,61,3,2,2,322,Clients à risque
